finding_key,n_labeled,n_pos,n_neg,auc
肝_低密度影,36,4,32,0.828125
脾_脾大,36,10,26,0.8576923076923078
肝_肝囊肿,31,3,28,0.7857142857142857
肝_肝内胆管扩张,28,1,27,0.40740740740740744
肾_囊肿,27,2,25,0.48
肾上腺_结节,25,0,25,
胰腺_低密度影,25,0,25,
肝_肝血管瘤,22,0,22,
胰腺_囊肿,22,0,22,
肾_肾盂积水,21,2,19,0.6052631578947368
门静脉_栓塞,21,0,21,
肝_转移瘤,19,2,17,0.47058823529411764
肝_硬化,18,9,9,0.6049382716049383
胰腺_胰腺炎,17,3,14,1.0
肝_脂肪肝,16,4,12,0.7916666666666667
肺_结节,15,0,15,
肾上腺_腺瘤,15,0,15,
胆囊_胆管扩张,14,0,14,
肝_肝细胞癌,13,2,11,0.9545454545454545
肺_胸腔积液,13,3,10,0.5
胆囊_结石,13,2,11,0.7272727272727273
胰腺_肿瘤或胰腺癌,13,0,13,
脾_囊肿,13,0,13,
脾_低密度灶,12,0,12,
大肠_肠梗阻,10,0,10,
肾_肾（盂）结石,10,1,9,0.8888888888888888
大肠_肠穿孔,9,0,9,
肺_肺占位,9,0,9,
大肠_结肠癌,8,0,8,
大肠_阑尾炎,8,4,4,0.75
小肠_梗阻,8,0,8,
肺_斑片影,8,3,5,0.6
肾_低密度影,8,1,7,0.2857142857142857
肝_波浪状改变,7,7,0,
肾_肾盂扩张,7,0,7,
胆囊_胆囊炎,7,1,6,0.5
胰腺_胰管扩张,6,1,5,0.6
大肠_直肠癌,4,0,4,
大肠_肠道扩张,4,0,4,
小肠_肠管扩张,4,0,4,
肾上腺_转移瘤,4,0,4,
胆囊_胆囊增大,4,1,3,0.33333333333333337
食管_静脉曲张,4,4,0,
大肠_阑尾粪石,3,1,2,0.0
肝_结节状强化,3,1,2,0.5
肾_肾盂癌,3,0,3,
肾_肾萎缩,3,1,2,1.0
胃_胃底静脉曲张,3,3,0,
胰腺_围脂肪间隙模糊,3,3,0,
胰腺_胰腺饱满,3,2,1,1.0
膀胱_结石,3,0,3,
膀胱_膀胱癌,3,0,3,
门静脉_高压,3,3,0,
主动脉_主动脉夹层,2,0,2,
主动脉_主动脉瘤,2,0,2,
大肠_脂肪间隙模糊,2,2,0,
小肠_系膜淋巴结肿大,2,0,2,
肺_转移瘤,2,0,2,
肾上腺_增生,2,0,2,
胃_胃癌,2,0,2,
胆囊_胆囊癌,2,0,2,
膀胱_膀胱壁毛糙,2,0,2,
主动脉_钙化,1,0,1,
十二指肠_占位,1,0,1,
十二指肠_梗阻,1,0,1,
大肠_急慢性（结）肠炎,1,1,0,
大肠_肠壁毛糙,1,0,1,
大肠_肠憩室,1,1,0,
小肠_积气积液,1,1,0,
小肠_系膜指膜炎,1,0,1,
小肠_肠壁增厚,1,1,0,
小肠_（急慢性）小肠炎,1,1,0,
肝_肝内胆管结石,1,0,1,
肝_边缘不规则,1,0,1,
肺_气胸,1,0,1,
肺_膨胀不全,1,1,0,
肾_多囊肾,1,1,0,
肾_肾细胞癌（透明细胞癌）,1,0,1,
肾_高密度影,1,1,0,
胆囊_胆囊腺肌症,1,0,1,
胆囊_胆管结石,1,0,1,
胰腺_胰周假性囊肿,1,0,1,
脾_脾脏淋巴瘤,1,0,1,
膀胱_软组织密度影,1,0,1,
门静脉_增宽,1,1,0,
肝_胆管癌,0,0,0,
膀胱_膀胱炎,0,0,0,
