finding_key,column,n_labeled,n_pos,n_neg,auc
脾_脾大,脾_脾大 (Spleen_Splenomegaly),42,12,30,0.8333333333333334
肝_低密度影,肝_低密度影 (Liver_Hypoattenuating lesion),41,6,35,0.8
肝_肝囊肿,肝_肝囊肿 (Liver_Cyst),34,3,31,1.0
肝_肝内胆管扩张,肝_肝内胆管扩张 (Liver_Intrahepatic bile duct dilatation),32,3,29,0.896551724137931
肾上腺_结节,肾上腺_结节 (Adrenal gland_Nodule),29,0,29,
胰腺_低密度影,胰腺_低密度影 (Pancreas_Low-density lesion),29,0,29,
肾_囊肿,肾_囊肿 (Kidney_Cyst),28,2,26,0.5769230769230769
门静脉_栓塞,门静脉_栓塞 (Portal vein_Thrombosis),28,0,28,
胰腺_囊肿,胰腺_囊肿 (Pancreas_Cyst),25,0,25,
肝_肝血管瘤,肝_肝血管瘤 (Liver_Hemangioma),23,0,23,
肝_转移瘤,肝_转移瘤 (Liver_Metastasis),23,2,21,1.0
肾_肾盂积水,肾_肾盂积水 (Kidney_Hydronephrosis),22,2,20,0.85
肝_硬化,肝_硬化 (Liver_Cirrhosis),20,10,10,0.99
肺_结节,肺_结节 (Lung_Nodule),19,0,19,
胆囊_胆管扩张,胆囊_胆管扩张 (Gallbladder_Extrahepatic bile duct dilatation),19,1,18,1.0
肝_脂肪肝,肝_脂肪肝 (Liver_Steatotic liver disease),18,5,13,0.9384615384615385
肺_胸腔积液,肺_胸腔积液 (Lung_Pleural effusion),18,3,15,0.9777777777777777
胰腺_胰腺炎,胰腺_胰腺炎 (Pancreas_Pancreatitis),18,3,15,1.0
肝_肝细胞癌,肝_肝细胞癌 (Liver_Hepatocellular carcinoma),16,4,12,0.5520833333333334
肾上腺_腺瘤,肾上腺_腺瘤 (Adrenal gland_Adenoma),16,0,16,
胰腺_肿瘤或胰腺癌,胰腺_肿瘤或胰腺癌 (Pancreas_Pancreatic cancer),16,1,15,1.0
脾_囊肿,脾_囊肿 (Spleen_Cyst),14,0,14,
胆囊_结石,胆囊_结石 (Gallbladder_Cholecystolithiasis),13,2,11,1.0
脾_低密度灶,脾_低密度灶 (Spleen_Hypoattenuating lesion),13,0,13,
肋骨_骨质破坏,肋骨_骨质破坏 (Rib_Bone destruction),12,0,12,
肺_斑片影,肺_斑片影 (Lung_Patchy opacity),11,3,8,0.875
肾_肾（盂）结石,肾_肾（盂）结石 (Kidney_Nephrolithiasis),11,1,10,1.0
大肠_肠梗阻,大肠_肠梗阻 (Large bowel_Obstruction),10,0,10,
肺_肺占位,肺_肺占位 (Lung_Mass),10,0,10,
大肠_肠穿孔,大肠_肠穿孔 (Large bowel_Perforation),9,0,9,
肝_波浪状改变,肝_波浪状改变 (Liver_Undulating contour),9,8,1,1.0
大肠_结肠癌,大肠_结肠癌 (Large bowel_Colon cancer),8,0,8,
大肠_阑尾炎,大肠_阑尾炎 (Large bowel_Appendicitis),8,4,4,0.5625
小肠_梗阻,小肠_梗阻 (Small bowel_Obstruction),8,0,8,
肾_低密度影,肾_低密度影 (Kidney_Hypoattenuating lesion),8,1,7,1.0
肾_肾盂扩张,肾_肾盂扩张 (Kidney_Renal pelvic dilatation),7,0,7,
胆囊_胆囊炎,胆囊_胆囊炎 (Gallbladder_Cholecystitis),7,1,6,1.0
胰腺_胰管扩张,胰腺_胰管扩张 (Pancreas_Pancreatic duct dilatation),7,2,5,1.0
肾上腺_转移瘤,肾上腺_转移瘤 (Adrenal gland_Metastasis),5,0,5,
膀胱_膀胱癌,膀胱_膀胱癌 (Bladder_Bladder cancer),5,0,5,
大肠_直肠癌,大肠_直肠癌 (Large bowel_Rectal cancer),4,0,4,
大肠_肠道扩张,大肠_肠道扩张 (Large bowel_Dilatation),4,0,4,
小肠_肠管扩张,小肠_肠管扩张 (Small bowel_Dilatation),4,0,4,
肝_结节状强化,肝_结节状强化 (Liver_Nodular enhancement),4,1,3,0.6666666666666667
胆囊_胆囊增大,胆囊_胆囊增大 (Gallbladder_Distention),4,1,3,1.0
膀胱_结石,膀胱_结石 (Bladder_Stone),4,0,4,
门静脉_高压,门静脉_高压 (Portal vein_Hypertension),4,4,0,
食管_静脉曲张,食管_静脉曲张 (Esophagus_Varices),4,4,0,
大肠_阑尾粪石,大肠_阑尾粪石 (Large bowel_Appendicolith),3,1,2,0.5
肺_转移瘤,肺_转移瘤 (Lung_Metastasis),3,0,3,
肾_肾盂癌,肾_肾盂癌 (Kidney_Renal pelvic cancer),3,0,3,
肾_肾萎缩,肾_肾萎缩 (Kidney_Atrophy),3,1,2,1.0
肾上腺_增生,肾上腺_增生 (Adrenal gland_Hyperplasia),3,0,3,
胃_胃底静脉曲张,胃_胃底静脉曲张 (Stomach_Gastric fundal varices),3,3,0,
胃_胃癌,胃_胃癌 (Stomach_Gastric cancer),3,0,3,
