finding_key,n_labeled,n_pos,n_neg,auc
脾_脾大,42,12,30,0.45555555555555555
肝_低密度影,41,6,35,0.3952380952380953
肝_肝囊肿,34,3,31,0.4838709677419355
肝_肝内胆管扩张,32,3,29,0.1954022988505747
肾上腺_结节,29,0,29,
胰腺_低密度影,29,0,29,
肾_囊肿,28,2,26,0.07692307692307693
门静脉_栓塞,28,0,28,
胰腺_囊肿,25,0,25,
肝_肝血管瘤,23,0,23,
肝_转移瘤,23,2,21,0.40476190476190477
肾_肾盂积水,22,2,20,0.275
肝_硬化,20,10,10,0.45999999999999996
肺_结节,19,0,19,
胆囊_胆管扩张,19,1,18,0.2777777777777778
肝_脂肪肝,18,5,13,0.7230769230769231
肺_胸腔积液,18,3,15,0.3333333333333333
胰腺_胰腺炎,18,3,15,0.6444444444444445
肝_肝细胞癌,16,4,12,0.29166666666666663
肾上腺_腺瘤,16,0,16,
胰腺_肿瘤或胰腺癌,16,1,15,0.6
脾_囊肿,14,0,14,
胆囊_结石,13,2,11,0.7272727272727273
脾_低密度灶,13,0,13,
肋骨_骨质破坏,12,0,12,
肺_斑片影,11,3,8,0.5416666666666666
肾_肾（盂）结石,11,1,10,0.8
大肠_肠梗阻,10,0,10,
肺_肺占位,10,0,10,
大肠_肠穿孔,9,0,9,
肝_波浪状改变,9,8,1,0.25
大肠_结肠癌,8,0,8,
大肠_阑尾炎,8,4,4,0.5
小肠_梗阻,8,0,8,
肾_低密度影,8,1,7,0.0
肾_肾盂扩张,7,0,7,
胆囊_胆囊炎,7,1,6,0.33333333333333337
胰腺_胰管扩张,7,2,5,0.0
肾上腺_转移瘤,5,0,5,
膀胱_膀胱癌,5,0,5,
大肠_直肠癌,4,0,4,
大肠_肠道扩张,4,0,4,
小肠_肠管扩张,4,0,4,
肝_结节状强化,4,1,3,1.0
胆囊_胆囊增大,4,1,3,0.33333333333333337
膀胱_结石,4,0,4,
门静脉_高压,4,4,0,
食管_静脉曲张,4,4,0,
大肠_阑尾粪石,3,1,2,0.0
肺_转移瘤,3,0,3,
肾_肾盂癌,3,0,3,
肾_肾萎缩,3,1,2,0.0
肾上腺_增生,3,0,3,
胃_胃底静脉曲张,3,3,0,
胃_胃癌,3,0,3,
胰腺_围脂肪间隙模糊,3,3,0,
胰腺_胰腺饱满,3,2,1,0.5
膀胱_膀胱壁毛糙,3,0,3,
主动脉_主动脉夹层,2,0,2,
主动脉_主动脉瘤,2,0,2,
大肠_脂肪间隙模糊,2,2,0,
小肠_系膜淋巴结肿大,2,0,2,
肋骨_骨折,2,0,2,
胆囊_胆囊癌,2,0,2,
门静脉_增宽,2,1,1,1.0
主动脉_钙化,1,0,1,
十二指肠_占位,1,0,1,
十二指肠_梗阻,1,0,1,
大肠_急慢性（结）肠炎,1,1,0,
大肠_肠壁毛糙,1,0,1,
大肠_肠憩室,1,1,0,
小肠_积气积液,1,1,0,
小肠_系膜指膜炎,1,0,1,
小肠_肠壁增厚,1,1,0,
小肠_（急慢性）小肠炎,1,1,0,
肋骨_转移瘤（乳腺癌 骨转移）,1,0,1,
肝_肝内胆管结石,1,0,1,
肝_胆管癌,1,1,0,
肝_边缘不规则,1,0,1,
肺_气胸,1,0,1,
肺_膨胀不全,1,1,0,
肾_多囊肾,1,1,0,
肾_肾细胞癌（透明细胞癌）,1,0,1,
肾_高密度影,1,1,0,
胆囊_胆囊腺肌症,1,0,1,
胆囊_胆管结石,1,0,1,
胰腺_胰周假性囊肿,1,0,1,
脾_脾脏淋巴瘤,1,0,1,
膀胱_膀胱炎,1,0,1,
膀胱_软组织密度影,1,0,1,
